Name,Location,Cuisine,Type,Status
Arsicault Bakery,San Francisco,French,Cafe/Bakery,Not Visited
Marufuku Ramen (Ananya's rec),San Francisco,Japanese,Restaurant,Not Visited
Hinodeya Ramen,San Francisco,Japanese,Restaurant,Visited
Tea Hut,San Francisco,Taiwanese,Boba,Not Visited
Bansang,San Francisco,Korean,Restaurant,Not Visited
Luisa's Ristorante Wine Bar since 1959,San Francisco,Italian,Restaurant,Visited
Kitchen Story,San Francisco,American,Restaurant,Visited
U :Dessert Story,San Francisco,Japanese,Cafe/Bakery,Not Visited
Elephant Sushi,San Francisco,Japanese,Restaurant,Not Visited
Robin,San Francisco,Japanese,Restaurant,Not Visited
Omakase,San Francisco,Japanese,Restaurant,Not Visited
Good Luck Dim Sum,San Francisco,Chinese,Restaurant,Not Visited
Dragon Beaux (dim sum),San Francisco,Chinese,Restaurant,Not Visited
Hong Kong Lounge (dim sum),San Francisco,Chinese,Restaurant,Not Visited
Han Li Kwan,San Francisco,Korean,Restaurant,Not Visited
Daeho,San Francisco,Korean,Restaurant,Not Visited
San Ho Wan,San Francisco,Korean,Restaurant,Not Visited
San Tung,San Francisco,Chinese,Restaurant,Not Visited
Sizzling Pot King,San Francisco,Chinese,Restaurant,Not Visited
R&G Lounge,San Francisco,Chinese,Restaurant,Not Visited
Hinoya Curry,San Francisco,Japanese,Restaurant,Not Visited
Udon Mugizo,San Francisco,Japanese,Restaurant,Not Visited
Nojo,San Francisco,Japanese,Restaurant,Not Visited
Shabu Club (hot pot),San Francisco,Chinese,Restaurant,Not Visited
Tasty Pot (hot pot),San Francisco,Chinese,Restaurant,Not Visited
Nabe (hot pot),San Francisco,Chinese,Restaurant,Not Visited
Golden Star,San Francisco,Vietnamese,Restaurant,Not Visited
Tin Vietnamese,San Francisco,Vietnamese,Restaurant,Not Visited
Perilla,San Francisco,Vietnamese,Restaurant,Not Visited
Milkbomb Ice Cream (sandwiches),San Francisco | Berkeley,General,Ice Cream,Not Visited
Lapisara Eatery,San Francisco,American,Restaurant,Not Visited
Matcha Cafe Maiko,San Francisco,Japanese,Ice Cream,Visited
Balboa Cafe,San Francisco,American,Bar/Brewery | Restaurant,Visited
Smuggler's Cove,San Francisco,General,Bar/Brewery,Visited
Wildhawk,San Francisco,General,Bar/Brewery,Not Visited
Mr. Tipple's Jazz Club,San Francisco,American,Bar/Brewery,Not Visited
The Snug Cocktail Bar,San Francisco,General,Bar/Brewery,Not Visited
Red 88,Davis,Thai,Restaurant,Visited
Fire Wings,Davis | San Jose,Variety,Restaurant,Visited
Burgers & Brew,Davis,General,Restaurant,Visited
Three Ladies Cafe,Davis,General,Cafe/Bakery,Visited
Black Frog Coffee,Davis,General,Cafe/Bakery,Not Visited
Temple Coffee Roasters,Davis,General,Cafe/Bakery,Not Visited
Zen Toro Japanese Cuisine,Davis,Japanese,Restaurant,Not Visited
Kin Thai Street Eatery,Sacramento,Thai,Restaurant,Visited
Mix Huevos,Los Gatos,Mexican,Restaurant,Not Visited
Cafe Kazka,Foster City,Chinese,Cafe/Bakery | Boba,Not Visited
Grand Bazaar Foods,San Carlos,Turkish,Store,Not Visited
All Raw Fizz (exotic snacks),Monterey,General,Store,Visited
Full Belly Bakery,Oakland,American,Cafe/Bakery,Not Visited
BZZ Claypot Rice,Cupertino,Chinese,Restaurant,Not Visited
